Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_2_N_24_ES_0_SIZE_1024_APP,1024,8.45784,16.9888,14.0223,32.8853,,,,,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_1024_NAPP,1024,8.45784,16.9888,13.8943,32.3196,,,,,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_128_APP,128,104.025,133.056,113.369,134.129,120.746,140.492,117.545,136.978,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_128_NAPP,128,104.025,133.056,112.954,136.596,120.612,140.447,117.545,136.978,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_2048_APP,2048,1.49662,15.2206,4.45295,23.7157,,,,,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_2048_NAPP,2048,1.49662,15.2206,4.44017,23.4606,,,,,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_256_APP,256,20.5257,134.322,39.8111,131.156,121.036,140.383,118.128,137.5,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_256_NAPP,256,20.5257,134.322,39.365,131.788,120.755,140.341,118.128,137.5,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_512_APP,512,17.3726,28.2011,21.3212,27.5293,,,,,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_512_NAPP,512,17.3726,28.2011,20.7847,26.8439,,,,,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_64_APP,64,108.08,137.483,115.283,139.319,120.425,140.312,119.117,137.275,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_64_NAPP,64,108.08,137.483,115.855,138.685,119.969,140.229,119.117,137.275,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_1_SIZE_1024_APP,1024,4.19082,16.9888,8.36114,32.8853,,,,,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_1024_NAPP,1024,4.19082,16.9888,8.30356,32.3196,,,,,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_128_APP,128,39.0116,133.056,51.4911,134.129,114.567,140.492,112.152,136.978,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_128_NAPP,128,39.0116,133.056,51.4232,136.596,114.522,140.447,112.152,136.978,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_2048_APP,2048,-0.97347,15.2206,2.7794,23.7157,,,,,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_2048_NAPP,2048,-0.97347,15.2206,2.77515,23.4606,,,,,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_256_APP,256,16.5365,134.322,32.4416,131.156,114.555,140.383,113.608,137.5,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_256_NAPP,256,16.5365,134.322,32.0507,131.788,114.374,140.341,113.608,137.5,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_512_APP,512,15.0598,28.2011,18.2424,27.5293,,,,,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_512_NAPP,512,15.0598,28.2011,17.9268,26.8439,,,,,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_64_APP,64,101.812,137.483,109.522,139.319,112.727,140.312,110.777,137.275,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_64_NAPP,64,101.812,137.483,109.409,138.685,112.708,140.229,110.777,137.275,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_2_SIZE_1024_APP,1024,0.694867,16.9888,4.00981,32.8853,,,,,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_1024_NAPP,1024,0.694867,16.9888,3.94604,32.3196,,,,,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_128_APP,128,21.8715,133.056,26.2533,134.129,110.676,140.492,107.384,136.978,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_128_NAPP,128,21.8715,133.056,25.8826,136.596,110.712,140.447,107.384,136.978,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_2048_APP,2048,-1.67959,15.2206,2.88444,23.7157,,,,,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_2048_NAPP,2048,-1.67959,15.2206,2.89582,23.4606,,,,,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_256_APP,256,14.5622,134.322,27.0204,131.156,109.42,140.383,107.669,137.5,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_256_NAPP,256,14.5622,134.322,26.7706,131.788,109.066,140.341,107.669,137.5,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_512_APP,512,12.7778,28.2011,13.3709,27.5293,,,,,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_512_NAPP,512,12.7778,28.2011,13.2173,26.8439,,,,,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_64_APP,64,95.4965,137.483,103.425,139.319,111.352,140.312,108.782,137.275,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_64_NAPP,64,95.4965,137.483,103.517,138.685,111.671,140.229,108.782,137.275,NAPP,"T:2 (24,2)"
TERMS_2_N_28_ES_0_SIZE_1024_APP,1024,21.5292,16.9888,39.3649,32.8853,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_1024_NAPP,1024,21.5292,16.9888,38.7207,32.3196,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_128_APP,128,129.113,133.056,136.989,134.129,145.159,140.492,143.063,136.978,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_128_NAPP,128,129.113,133.056,136.969,136.596,144.931,140.447,143.063,136.978,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_2048_APP,2048,16.8997,15.2206,26.9927,23.7157,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_2048_NAPP,2048,16.8997,15.2206,26.686,23.4606,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_APP,256,128.136,134.322,136.768,131.156,145.004,140.383,143.209,137.5,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_NAPP,256,128.136,134.322,137.291,131.788,144.736,140.341,143.209,137.5,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_512_APP,512,122.893,28.2011,132.076,27.5293,,,,,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_512_NAPP,512,122.893,28.2011,132.702,26.8439,,,,,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_APP,64,129.983,137.483,139.266,139.319,144.779,140.312,143.538,137.275,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_NAPP,64,129.983,137.483,139.393,138.685,144.666,140.229,143.538,137.275,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_1_SIZE_1024_APP,1024,17.7268,16.9888,32.0794,32.8853,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_1024_NAPP,1024,17.7268,16.9888,31.5839,32.3196,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_128_APP,128,122.942,133.056,131.222,134.129,139.275,140.492,137.729,136.978,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_128_NAPP,128,122.942,133.056,131.184,136.596,139.442,140.447,137.729,136.978,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_2048_APP,2048,13.6263,15.2206,20.9225,23.7157,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_2048_NAPP,2048,13.6263,15.2206,20.7219,23.4606,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_APP,256,121.1,134.322,131.156,131.156,139.055,140.383,137.612,137.5,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_NAPP,256,121.1,134.322,131.824,131.788,139.035,140.341,137.612,137.5,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_512_APP,512,48.6945,28.2011,52.0547,27.5293,,,,,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_512_NAPP,512,48.6945,28.2011,51.662,26.8439,,,,,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_64_APP,64,124.871,137.483,133.727,139.319,138.649,140.312,137.514,137.275,APP,"T:2 (28,1)"
