Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_2_N_24_ES_0_SIZE_128_APP,128,38.3813,47.4658,16.6603,16.5328,122.764,140.587,117.56,137.394,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_128_NAPP,128,38.3813,47.4658,17.5052,17.2351,122.432,140.442,117.56,137.394,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_256_APP,256,30.3462,40.3441,14.2027,14.3197,122.461,140.391,117.926,136.937,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_256_NAPP,256,30.3462,40.3441,14.5425,14.4894,122.214,140.552,117.926,136.937,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_64_APP,64,61.5393,84.7894,19.328,18.692,123.717,140.415,119.311,137.359,APP,"T:2 (24,0)"
TERMS_2_N_24_ES_0_SIZE_64_NAPP,64,61.5393,84.7894,20.8914,19.8626,122.787,140.692,119.311,137.359,NAPP,"T:2 (24,0)"
TERMS_2_N_24_ES_1_SIZE_128_APP,128,35.5814,47.4658,16.6115,16.5328,116.58,140.587,112.842,137.394,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_128_NAPP,128,35.5814,47.4658,17.4488,17.2351,116.657,140.442,112.842,137.394,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_256_APP,256,27.3317,40.3441,13.9523,14.3197,116.328,140.391,114.047,136.937,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_256_NAPP,256,27.3317,40.3441,14.2791,14.4894,116.093,140.552,114.047,136.937,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_64_APP,64,56.0595,84.7894,19.3108,18.692,114.994,140.415,111.27,137.359,APP,"T:2 (24,1)"
TERMS_2_N_24_ES_1_SIZE_64_NAPP,64,56.0595,84.7894,20.8742,19.8626,115.229,140.692,111.27,137.359,NAPP,"T:2 (24,1)"
TERMS_2_N_24_ES_2_SIZE_128_APP,128,31.34,47.4658,16.4957,16.5328,111.02,140.587,107.191,137.394,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_128_NAPP,128,31.34,47.4658,17.3236,17.2351,110.774,140.442,107.191,137.394,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_256_APP,256,22.6606,40.3441,13.6573,14.3197,110.581,140.391,107.42,136.937,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_256_NAPP,256,22.6606,40.3441,13.9651,14.4894,110.41,140.552,107.42,136.937,NAPP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_64_APP,64,49.5352,84.7894,19.2539,18.692,110.976,140.415,107.898,137.359,APP,"T:2 (24,2)"
TERMS_2_N_24_ES_2_SIZE_64_NAPP,64,49.5352,84.7894,20.8156,19.8626,110.536,140.692,107.898,137.359,NAPP,"T:2 (24,2)"
TERMS_2_N_28_ES_0_SIZE_128_APP,128,47.4834,47.4658,16.6974,16.5328,147.711,140.587,142.979,137.394,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_128_NAPP,128,47.4834,47.4658,17.5498,17.2351,147.314,140.442,142.979,137.394,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_APP,256,40.0281,40.3441,14.4011,14.3197,147.686,140.391,143.114,136.937,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_256_NAPP,256,40.0281,40.3441,14.768,14.4894,147.505,140.552,143.114,136.937,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_APP,64,83.9351,84.7894,19.3445,18.692,146.581,140.415,144.317,137.359,APP,"T:2 (28,0)"
TERMS_2_N_28_ES_0_SIZE_64_NAPP,64,83.9351,84.7894,20.9065,19.8626,146.469,140.692,144.317,137.359,NAPP,"T:2 (28,0)"
TERMS_2_N_28_ES_1_SIZE_128_APP,128,47.4411,47.4658,16.6942,16.5328,140.666,140.587,136.982,137.394,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_128_NAPP,128,47.4411,47.4658,17.5462,17.2351,140.265,140.442,136.982,137.394,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_APP,256,38.9128,40.3441,14.3906,14.3197,140.361,140.391,136.912,136.937,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_256_NAPP,256,38.9128,40.3441,14.7559,14.4894,140.033,140.552,136.912,136.937,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_64_APP,64,76.8579,84.7894,19.3432,18.692,140.468,140.415,137.167,137.359,APP,"T:2 (28,1)"
TERMS_2_N_28_ES_1_SIZE_64_NAPP,64,76.8579,84.7894,20.9052,19.8626,140.057,140.692,137.167,137.359,NAPP,"T:2 (28,1)"
TERMS_2_N_28_ES_2_SIZE_128_APP,128,38.7808,47.4658,16.6884,16.5328,134.133,140.587,130.116,137.394,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_128_NAPP,128,38.7808,47.4658,17.5393,17.2351,133.985,140.442,130.116,137.394,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_256_APP,256,36.4847,40.3441,14.368,14.3197,133.834,140.391,129.978,136.937,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_256_NAPP,256,36.4847,40.3441,14.7295,14.4894,133.605,140.552,129.978,136.937,NAPP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_APP,64,72.1654,84.7894,19.3399,18.692,133.619,140.415,131.197,137.359,APP,"T:2 (28,2)"
TERMS_2_N_28_ES_2_SIZE_64_NAPP,64,72.1654,84.7894,20.902,19.8626,133.313,140.692,131.197,137.359,NAPP,"T:2 (28,2)"
TERMS_2_N_32_ES_0_SIZE_128_APP,128,98.0685,47.4658,16.7007,16.5328,171.059,140.587,167.787,137.394,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_128_NAPP,128,98.0685,47.4658,17.5533,17.2351,170.928,140.442,167.787,137.394,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_APP,256,52.7885,40.3441,14.4124,14.3197,171.326,140.391,166.894,136.937,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_256_NAPP,256,52.7885,40.3441,14.7805,14.4894,171.153,140.552,166.894,136.937,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_APP,64,107.69,84.7894,19.3455,18.692,170.808,140.415,168.544,137.359,APP,"T:2 (32,0)"
TERMS_2_N_32_ES_0_SIZE_64_NAPP,64,107.69,84.7894,20.9076,19.8626,170.964,140.692,168.544,137.359,NAPP,"T:2 (32,0)"
TERMS_2_N_32_ES_1_SIZE_128_APP,128,91.9898,47.4658,16.7005,16.5328,166.115,140.587,161.876,137.394,APP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_128_NAPP,128,91.9898,47.4658,17.5531,17.2351,166.027,140.442,161.876,137.394,NAPP,"T:2 (32,1)"
TERMS_2_N_32_ES_1_SIZE_256_APP,256,47.6038,40.3441,14.4117,14.3197,166.242,140.391,161.898,136.937,APP,"T:2 (32,1)"
